,sex,league,position,age,salary,height,weight,topspeed,careergoals
sex,0.0,1.3647510864250496,3.484759787994725e-05,7.928992733211971e-05,0.1019855703599867,0.33821444959987346,1.9197549671429364,3.932498613216712,3.816144691170497e-05
league,1.3647510864250496,0.0,0.5338824936442554,0.12929131554160872,2.7902999281076295,7.820636640172266e-05,0.03498892597926825,0.22039764428673525,0.8773398693641726
position,3.484759787994725e-05,0.5338824936442554,0.0,0.874102032622641,6.250776974550395e-05,1.329731279039672,0.2841883042881919,1.11208767191163,5.118085904734911
age,7.928992733211971e-05,0.12929131554160872,0.874102032622641,0.0,0.11770879322905524,0.031218079701666273,0.0970774932315475,0.28874877321448394,0.4416205806688019
salary,0.1019855703599867,2.7902999281076295,6.250776974550395e-05,0.11770879322905524,0.0,0.23804997774682382,0.13461442263080534,0.9213962610129681,0.2543915631672738
height,0.33821444959987346,7.820636640172266e-05,1.329731279039672,0.031218079701666273,0.23804997774682382,0.0,2.47736353849082,5.956616373288802e-05,5.450080683307326e-05
weight,1.9197549671429364,0.03498892597926825,0.2841883042881919,0.0970774932315475,0.13461442263080534,2.47736353849082,0.0,5.3405599802219076e-05,0.3021103772648867
topspeed,3.932498613216712,0.22039764428673525,1.11208767191163,0.28874877321448394,0.9213962610129681,5.956616373288802e-05,5.3405599802219076e-05,0.0,0.2931535313593918
careergoals,3.816144691170497e-05,0.8773398693641726,5.118085904734911,0.4416205806688019,0.2543915631672738,5.450080683307326e-05,0.3021103772648867,0.2931535313593918,0.0
